Start Time, 2021-04-18 - 12:48:32
Sample Rate,10
Operation Mode,Constant Depth
Target Depth [m],0.0
Target Height [m],0.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A]
0.02350243299997601,Calibration Complete
0.043674361000057615,1.14,-1.14,0.47,-0.47,10586.00,22.55,325.88,-27.87,-3.56,3.47,36.54
0.05127239500006908,1.14,-1.14,0.46,-0.46,10584.00,22.62,316.44,-24.87,-7.50,3.51,36.54
0.05942678099995646,1.14,-1.14,0.46,-0.46,10579.00,22.66,320.31,-9.75,-11.19,3.47,36.41
0.06655502600006002,1.14,-1.14,0.46,-0.46,10581.00,22.68,331.31,4.06,-11.31,3.44,36.54
0.07391858200003298,1.13,-1.13,0.46,-0.46,10583.00,22.70,337.69,4.69,-5.69,3.47,36.54
0.08147432400005528,1.13,-1.13,0.46,-0.46,10580.00,22.71,335.06,6.13,-4.44,3.54,36.54
0.08938829399994574,1.14,-1.14,0.46,-0.46,10580.00,22.72,328.25,2.63,-9.50,3.51,36.54
0.09510373399984928,1.14,-1.14,0.46,-0.46,10576.00,22.72,325.38,-3.38,-11.75,3.47,36.41
0.10155505500006257,1.13,-1.13,0.45,-0.45,10574.00,22.73,323.81,-2.81,-7.31,3.51,36.54
0.10694825699988542,1.13,-1.13,0.46,-0.46,10579.00,22.73,322.13,-0.12,-1.37,3.47,36.54
0.11252124899988303,1.14,-1.14,0.46,-0.46,10581.00,22.74,322.88,-2.56,0.19,3.54,36.41
0.11737867199985885,1.14,-1.14,0.46,-0.46,10580.00,22.74,321.75,-5.44,1.63,3.54,36.54
0.1229821859999447,1.14,-1.14,0.46,-0.46,10581.00,22.74,318.56,-5.44,-0.12,3.47,36.41
0.12839481399987562,1.14,-1.14,0.46,-0.46,10579.00,22.75,317.63,-5.44,-1.81,3.47,36.54
0.13385619299992868,1.14,-1.14,0.46,-0.46,10580.00,22.75,316.38,-5.44,-1.56,3.58,36.54
0.1390024679999442,1.14,-1.14,0.46,-0.46,10583.00,22.76,315.19,-5.38,-1.31,3.47,36.41
0.14401530700001786,1.14,-1.14,0.46,-0.46,10581.00,22.76,314.13,-5.38,-1.19,3.47,36.54
0.14908220899997104,1.14,-1.14,0.46,-0.46,10578.00,22.76,312.56,-5.38,-3.38,3.54,36.54
0.15433327599998847,1.14,-1.14,0.46,-0.46,10579.00,22.77,311.56,-5.44,-6.81,3.40,36.41
0.16005824600006235,1.14,-1.14,0.46,-0.46,10583.00,22.77,311.06,-5.50,-9.63,3.51,36.54
0.1659024349999072,1.14,-1.14,0.46,-0.46,10582.00,22.78,310.88,-5.38,-10.13,3.54,36.54
0.17118548100006592,1.14,-1.14,0.46,-0.46,10576.00,22.78,310.88,-5.38,-9.50,3.58,36.54
0.17635399699997834,1.14,-1.14,0.46,-0.46,10576.00,22.79,310.63,-5.38,-9.31,3.58,36.54
0.1822872999998708,1.14,-1.14,0.46,-0.46,10579.00,22.79,310.56,-5.38,-3.88,3.51,36.54
