Start Time, 2021-04-18 - 15:41:02
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],0.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A]
0.03336194699841144,0.51,-0.51,0.43,-0.01,10554.00,27.01,315.44,-1.12,-7.69,3.54,36.03
0.12968488699880254,0.51,-0.51,0.43,-0.01,10549.00,27.09,315.56,-1.12,-7.50,3.69,38.79
0.2254523089995928,0.51,-0.51,0.43,-0.01,10554.00,27.13,315.50,-1.19,-7.75,3.93,35.91
0.3209463979983411,0.51,-0.51,0.43,-0.01,10554.00,27.15,315.63,-1.31,-7.69,3.93,36.03
0.4164993929989578,0.51,-0.51,0.43,-0.01,10553.00,27.16,315.56,-1.44,-8.31,3.58,36.03
0.5119675449986971,0.51,-0.51,0.43,-0.01,10550.00,27.17,315.63,-1.37,-8.19,3.93,36.54
0.607485539998379,0.51,-0.51,0.43,-0.01,10551.00,27.17,315.56,-1.37,-8.44,3.72,36.16
0.7030283269996289,0.51,-0.51,0.43,-0.01,10553.00,27.18,315.63,-1.50,-8.88,4.01,35.78
0.8020876109985693,0.51,-0.51,0.43,-0.01,10550.00,27.18,315.69,-2.25,-11.63,3.51,36.16
0.9004684069986979,0.51,-0.51,0.44,-0.02,10556.00,27.19,316.56,-4.56,-18.50,3.54,35.91
0.9975372289991356,0.51,-0.51,0.43,-0.01,10552.00,27.19,316.94,-4.75,-18.87,3.58,36.41
1.0951807369983726,0.51,-0.51,0.43,-0.01,10550.00,27.19,316.94,-4.88,-20.69,3.51,35.78
1.1929059629983385,0.51,-0.51,0.43,-0.01,10550.00,27.19,317.75,-6.06,-25.75,3.72,36.03
1.290462855999067,0.51,-0.51,0.43,-0.01,10551.00,27.19,318.13,-6.38,-28.06,3.72,36.03
