Start Time, 2021-04-18 - 16:43:04
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.5
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.5
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.01958617300078913,0.76,98.24,0.39,0.03,10516.00,26.94,322.69,-2.63,5.38,3.58,35.66,108.00,108.00,1
0.11608016100035456,ISR FINISHED BITCH
0.2142740990002494,0.76,98.24,0.39,0.03,10513.00,26.94,322.00,-2.81,-2.19,3.65,35.78,108.00,108.00,1
0.3114374110009521,0.76,98.24,0.39,0.03,10512.00,26.95,320.63,-2.94,-7.44,3.62,36.03,108.00,108.00,1
0.4080011900005047,0.76,98.24,0.39,0.03,10511.00,26.94,320.50,-2.94,-7.00,3.54,35.28,108.00,108.00,1
0.5044730429999618,0.76,98.24,0.39,0.03,10509.00,26.91,321.50,-2.75,-0.69,4.11,35.91,108.00,108.00,1
0.6008022910009458,0.76,98.24,0.39,0.03,10511.00,26.94,322.81,-2.69,2.13,3.79,35.03,108.00,108.00,1
0.6971785180012375,0.76,98.24,0.39,0.03,10511.00,26.94,323.56,-2.63,3.63,3.69,35.66,108.00,108.00,1
0.7936741720004648,0.76,98.24,0.39,0.03,10513.00,26.94,323.69,-2.63,4.00,3.51,35.66,108.00,108.00,1
0.8904930560001958,0.76,98.24,0.39,0.03,10511.00,26.91,323.75,-2.63,6.19,3.54,35.78,108.00,108.00,1
0.9868850120001298,0.76,98.24,0.39,0.03,10512.00,26.93,323.88,-2.56,7.63,3.69,35.66,108.00,108.00,1
1.0837230110009841,0.76,98.24,0.39,0.03,10510.00,26.94,323.63,-2.63,6.44,3.93,35.41,108.00,108.00,1
1.1800977800012333,0.76,98.24,0.39,0.03,10510.00,26.95,323.38,-2.63,4.50,3.51,35.66,108.00,108.00,1
1.2767789540012018,0.00,99.00,0.39,0.03,10513.00,26.81,322.63,-2.75,-2.81,4.04,35.41,108.00,108.00,1
1.3731778370001848,0.00,99.00,0.39,0.03,10513.00,26.86,322.69,-2.75,-2.88,3.97,35.28,108.00,108.00,1
1.4723270880003838,0.00,99.00,0.39,0.03,10516.00,26.90,322.69,-2.75,-2.50,3.58,35.66,108.00,108.00,1
1.5708406619996822,0.00,99.00,0.39,0.03,10511.00,26.93,322.94,-2.69,-0.75,3.72,35.66,108.00,108.00,1
1.6692014740001468,0.18,98.82,0.39,0.03,10511.00,26.93,322.94,-2.69,0.88,3.69,35.53,108.00,108.00,1
1.7673602030008624,0.18,98.82,0.39,0.03,10513.00,26.95,322.81,-2.69,0.94,3.93,35.41,108.00,108.00,1
1.8655808590010565,0.00,99.00,0.39,0.03,10513.00,26.93,322.88,-2.69,2.44,3.54,35.53,108.00,108.00,1
1.9637655780006753,0.00,99.00,0.40,0.02,10518.00,26.91,322.88,-2.69,2.13,3.76,35.78,108.00,108.00,1
2.0618544629996904,0.00,99.00,0.39,0.03,10513.00,26.93,322.75,-2.69,0.81,3.83,35.53,108.00,108.00,1
2.1600277750003443,0.00,99.00,0.39,0.03,10512.00,26.81,322.81,-2.69,0.25,3.51,35.53,108.00,108.00,1
2.2591843170012,0.00,99.00,0.39,0.03,10511.00,26.79,322.81,-2.69,0.00,3.79,35.53,108.00,108.00,1
2.357485598000494,0.00,99.00,0.39,0.03,10508.00,26.86,322.81,-2.69,-0.06,3.51,35.78,108.00,108.00,1
2.455642295000871,0.00,99.00,0.39,0.03,10513.00,26.90,322.81,-2.69,0.00,3.76,35.03,108.00,108.00,1
2.5538857629999256,0.00,99.00,0.39,0.03,10514.00,26.92,322.81,-2.69,-0.06,3.51,35.78,108.00,108.00,1
2.6520056890003616,0.00,99.00,0.39,0.03,10513.00,26.92,322.81,-2.69,0.00,3.93,35.53,108.00,108.00,1
2.751010669000607,0.20,98.79,0.39,0.03,10510.00,26.92,322.81,-2.69,0.00,3.86,36.03,108.00,108.00,1
2.8493232519995217,0.20,98.79,0.40,0.02,10517.00,26.94,322.81,-2.69,0.19,3.79,37.16,108.00,108.00,1
2.948373752000407,0.28,98.71,0.39,0.03,10513.00,26.90,322.81,-2.69,-0.31,4.54,35.41,108.00,108.00,1
3.0470983140003227,0.28,98.71,0.39,0.03,10514.00,26.93,322.81,-2.69,-0.25,3.86,35.53,108.00,108.00,1
3.14553246000105,0.28,98.71,0.39,0.03,10515.00,26.94,322.75,-2.69,-0.63,3.76,35.78,108.00,108.00,1
3.2445700950011087,0.29,98.71,0.39,0.03,10511.00,26.95,322.75,-2.69,-0.63,3.69,35.53,108.00,108.00,1
3.343741427999703,0.29,98.71,0.39,0.03,10511.00,26.95,322.75,-2.69,-0.50,3.83,35.91,108.00,108.00,1
3.4424773440005083,0.29,98.70,0.39,0.03,10515.00,26.93,322.75,-2.69,-0.19,3.51,35.53,108.00,108.00,1
3.542527481000434,0.29,98.70,0.39,0.03,10513.00,26.91,322.75,-2.69,-0.50,3.65,35.53,108.00,108.00,1
