Start Time, 2021-04-18 - 17:50:39
Sample Rate,10
Operation Mode,2
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.014372784000443062,0.46,98.54,0.40,0.02,10524.00,27.59,331.00,-2.63,-23.69,3.69,35.28,0.00,0.00,1
0.1114818150017527,0.46,98.54,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.75,3.76,35.16,0.00,0.00,1
0.20877423099955195,0.46,98.54,0.40,0.02,10523.00,27.59,331.00,-2.63,-23.69,3.58,34.78,0.00,0.00,1
0.3056146679991798,0.46,98.54,0.40,0.02,10523.00,27.58,331.00,-2.63,-23.75,3.62,34.78,0.00,0.00,1
0.4029621359986777,0.46,98.54,0.41,0.01,10527.00,27.55,331.00,-2.63,-23.75,3.54,35.28,0.00,0.00,1
0.49955189600223093,0.46,98.54,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.75,3.76,35.16,0.00,0.00,1
0.5961309279991838,0.46,98.54,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.69,3.86,37.91,0.00,0.00,1
0.6926431370011414,0.46,98.54,0.40,0.02,10523.00,27.59,331.00,-2.63,-23.75,3.65,35.41,0.00,0.00,1
0.7910957070016593,0.46,98.54,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.75,3.54,35.41,0.00,0.00,1
0.890490983001655,0.46,98.54,0.41,0.01,10530.00,27.59,331.00,-2.63,-23.69,3.51,35.28,0.00,0.00,1
0.990429174999008,0.46,98.54,0.41,0.01,10527.00,27.58,331.00,-2.63,-23.75,3.79,35.16,0.00,0.00,1
1.0896082530016429,0.46,98.54,0.41,0.01,10526.00,27.54,331.00,-2.63,-23.75,3.90,35.16,0.00,0.00,1
1.1887691029987764,0.46,98.54,0.40,0.02,10523.00,27.57,331.00,-2.63,-23.75,3.83,34.41,0.00,0.00,1
1.2878510980008286,0.48,98.52,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.75,3.69,35.16,0.00,0.00,1
1.3869929899992712,0.48,98.52,0.40,0.02,10522.00,27.59,331.00,-2.63,-23.75,3.58,35.41,0.00,0.00,1
1.4860478500013414,0.48,98.52,0.41,0.01,10528.00,27.59,331.00,-2.63,-23.75,3.65,35.53,0.00,0.00,1
1.585411511001439,0.48,98.52,0.41,0.01,10526.00,27.60,331.00,-2.63,-23.75,3.72,34.91,0.00,0.00,1
1.6846074130007764,0.48,98.52,0.41,0.01,10527.00,27.58,331.00,-2.63,-23.75,3.58,35.28,0.00,0.00,1
1.7829814930009888,0.48,98.52,0.40,0.02,10523.00,27.54,331.00,-2.63,-23.75,3.72,35.28,0.00,0.00,1
1.8821852069995657,0.48,98.52,0.41,0.01,10526.00,27.57,331.00,-2.63,-23.75,3.54,35.53,0.00,0.00,1
1.9809427239997603,0.48,98.52,0.41,0.01,10527.00,27.58,331.00,-2.63,-23.87,3.72,35.28,0.00,0.00,1
2.079622637000284,0.48,98.52,0.41,0.01,10528.00,27.59,331.00,-2.63,-23.69,3.69,35.16,0.00,0.00,1
2.178644529001758,0.47,98.52,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.87,3.51,35.41,0.00,0.00,1
2.276872098998865,0.47,98.52,0.41,0.01,10532.00,27.59,331.00,-2.63,-23.81,4.01,35.41,0.00,0.00,1
2.3750988880019577,0.47,98.52,0.41,0.01,10526.00,27.57,331.00,-2.63,-23.75,3.51,35.28,0.00,0.00,1
2.474218851999467,0.47,98.52,0.41,0.01,10527.00,27.54,331.00,-2.63,-23.75,4.08,35.16,0.00,0.00,1
2.5733482430005097,0.47,98.52,0.41,0.01,10526.00,27.58,331.00,-2.63,-23.81,4.04,36.28,0.00,0.00,1
2.6730786230000376,0.49,98.51,0.41,0.01,10529.00,27.58,331.00,-2.63,-23.75,3.65,37.16,0.00,0.00,1
2.7724791590007953,0.49,98.51,0.40,0.02,10525.00,27.59,331.00,-2.63,-23.81,3.51,35.41,0.00,0.00,1
2.87179672700222,0.49,98.51,0.40,0.02,10524.00,27.59,331.00,-2.63,-23.81,3.33,35.28,0.00,0.00,1
2.970869765002135,0.49,98.51,0.40,0.02,10524.00,27.59,331.00,-2.63,-23.75,3.62,35.41,0.00,0.00,1
3.069965875001799,0.49,98.51,0.40,0.02,10521.00,27.58,331.00,-2.63,-23.81,3.86,35.41,0.00,0.00,1
3.1690289120015223,0.49,98.51,0.41,0.01,10527.00,27.54,331.00,-2.63,-23.81,3.58,35.28,0.00,0.00,1
3.268074865998642,0.49,98.51,0.40,0.02,10523.00,27.57,331.00,-2.63,-23.81,3.69,35.28,0.00,0.00,1
3.3671607680007583,0.49,98.51,0.40,0.02,10522.00,27.58,331.00,-2.63,-23.81,3.54,35.16,0.00,0.00,1
3.4661720860021887,0.49,98.51,0.40,0.02,10525.00,27.59,331.00,-2.63,-23.81,3.69,35.16,0.00,0.00,1
3.5643598130009195,0.49,98.51,0.41,0.01,10528.00,27.58,331.00,-2.63,-23.81,3.40,35.41,0.00,0.00,1
3.662597070000629,0.49,98.51,0.40,0.02,10521.00,27.59,331.00,-2.63,-23.81,3.79,35.16,0.00,0.00,1
3.7607309949999035,0.49,98.51,0.40,0.02,10524.00,27.58,331.00,-2.63,-23.81,3.83,35.03,0.00,0.00,1
3.8599319480017584,0.49,98.51,0.41,0.01,10529.00,27.54,331.00,-2.63,-23.81,3.76,35.03,0.00,0.00,1
3.9593802970011893,0.49,98.51,0.41,0.01,10527.00,27.57,331.00,-2.63,-23.81,3.72,35.28,0.00,0.00,1
4.0583292199989955,0.50,98.50,0.40,0.02,10522.00,27.58,331.00,-2.63,-23.81,3.65,35.28,0.00,0.00,1
4.157820903001266,0.50,98.50,0.41,0.01,10529.00,27.59,331.00,-2.63,-23.81,3.69,35.41,0.00,0.00,1
4.256602638000913,0.50,98.50,0.41,0.01,10527.00,27.59,331.00,-2.63,-23.75,3.54,35.53,0.00,0.00,1
4.3557080710015725,0.50,98.50,0.41,0.01,10528.00,27.59,331.00,-2.63,-23.75,3.93,35.28,0.00,0.00,1
4.454333296998811,0.50,98.50,0.40,0.02,10522.00,27.57,331.00,-2.63,-23.75,3.58,35.28,0.00,0.00,1
4.552838366002106,0.50,98.50,0.41,0.01,10529.00,27.54,331.00,-2.63,-23.75,3.62,35.03,0.00,0.00,1
4.651408853002067,0.50,98.50,0.41,0.01,10527.00,27.57,331.00,-2.63,-23.75,3.44,35.28,0.00,0.00,1
4.749344444000599,0.50,98.50,0.41,0.01,10532.00,27.58,331.00,-2.63,-23.81,3.62,35.16,0.00,0.00,1
4.847565191001195,0.50,98.50,0.41,0.01,10526.00,27.59,331.00,-2.63,-23.69,3.54,35.91,0.00,0.00,1
4.948959682002169,
5.045549808000942,0.55,98.44,0.41,0.01,10526.00,27.58,325.00,-2.44,4.19,3.54,35.28,0.00,0.00,1
5.147788150999986,0,27.58,325.19,-2.38,5.69,3.62,35.28,0.00,0.00,1
5.244292183000653,0.55,98.44,0.41,0.01,10526.00,27.58,325.00,-2.44,4.19,3.54,35.28,0.00,0.00,1
5.340817100001004,0.55,98.44,0.41,0.01,10529.00,27.59,325.00,-2.44,10.06,3.69,35.16,0.00,0.00,1
5.437561965001805,0.55,98.44,0.40,0.02,10525.00,27.59,324.44,-2.44,4.50,3.76,35.41,0.00,0.00,1
5.534671360001084,0.56,98.44,0.40,0.02,10521.00,27.59,324.19,-2.44,5.63,3.72,35.16,0.00,0.00,1
5.632305129001907,0.56,98.44,0.40,0.02,10523.00,27.58,324.06,-2.50,6.31,3.51,35.03,0.00,0.00,1
5.729149890001281,0.57,98.43,0.41,0.01,10526.00,27.59,324.06,-2.50,6.63,3.62,35.41,0.00,0.00,1
5.8255635570021695,0.57,98.43,0.41,0.01,10529.00,27.59,324.06,-2.50,6.56,3.62,35.28,0.00,0.00,1
5.9227303480001865,0.57,98.43,0.40,0.02,10524.00,27.59,324.00,-2.50,6.63,3.79,36.41,0.00,0.00,1
6.023838746001275,0.59,98.41,0.40,0.02,10524.00,27.59,324.00,-2.56,6.69,3.97,35.16,0.00,0.00,1
6.1449201260002155,0.59,98.41,0.40,0.02,10524.00,27.58,323.94,-2.56,6.56,3.69,35.16,0.00,0.00,1
6.246899459001725,0.60,98.40,0.40,0.02,10525.00,27.59,323.94,-2.56,6.31,3.69,35.28,0.00,0.00,1
6.343461772001319,0.60,98.40,0.41,0.01,10526.00,27.58,323.94,-2.56,6.38,3.83,35.66,0.00,0.00,1
6.439924657999654,0.60,98.40,0.40,0.02,10525.00,27.59,323.81,-2.56,6.25,3.69,35.53,0.00,0.00,1
6.5363462419991265,0.61,98.39,0.40,0.02,10524.00,27.59,323.81,-2.56,5.94,3.33,35.16,0.00,0.00,1
6.6328586589988845,0.61,98.39,0.40,0.02,10524.00,27.58,323.69,-2.56,5.56,3.72,34.53,0.00,0.00,1
6.729838576000475,0.61,98.38,0.40,0.02,10519.00,27.59,323.69,-2.56,5.63,3.54,35.28,0.00,0.00,1
6.826626774000033,0.61,98.38,0.40,0.02,10523.00,27.58,323.69,-2.56,5.69,3.76,35.16,0.00,0.00,1
6.923081326000101,0.61,98.38,0.40,0.02,10524.00,27.58,323.69,-2.56,5.81,3.40,35.28,0.00,0.00,1
7.021440718999656,0.63,98.37,0.40,0.02,10524.00,27.59,323.69,-2.56,5.81,3.72,35.16,0.00,0.00,1
7.12519077899924,0.63,98.37,0.40,0.02,10523.00,27.58,323.69,-2.56,5.88,3.51,35.28,0.00,0.00,1
7.226081781001994,0.61,98.38,0.40,0.02,10524.00,27.59,323.69,-2.56,5.88,3.65,35.53,0.00,0.00,1
7.325410286000988,0.61,98.38,0.41,0.01,10526.00,27.59,323.63,-2.56,5.94,3.51,35.28,0.00,0.00,1
7.426338320001378,0.61,98.38,0.40,0.02,10525.00,27.58,323.63,-2.56,5.75,4.04,35.91,0.00,0.00,1
7.524537088000216,0.63,98.37,0.40,0.02,10525.00,27.59,323.63,-2.56,5.63,3.76,35.16,0.00,0.00,1
7.622849293999025,0.63,98.37,0.40,0.02,10522.00,27.58,323.63,-2.56,5.44,3.51,35.28,0.00,0.00,1
7.7217969660014205,0.63,98.37,0.40,0.02,10523.00,27.59,323.63,-2.56,5.50,3.51,35.28,0.00,0.00,1
7.8207164100022055,0.63,98.37,0.40,0.02,10525.00,27.58,323.63,-2.56,5.44,3.54,35.16,0.00,0.00,1
7.918925178000791,0.63,98.37,0.40,0.02,10522.00,27.59,323.63,-2.56,5.75,3.76,34.78,0.00,0.00,1
8.017748632999428,0.64,98.36,0.41,0.01,10526.00,27.59,323.63,-2.56,6.00,3.72,35.16,0.00,0.00,1
8.11669427400193,0.64,98.36,0.41,0.01,10527.00,27.58,323.56,-2.63,5.63,3.54,35.28,0.00,0.00,1
8.215587937000237,0.63,98.37,0.40,0.02,10519.00,27.59,323.63,-2.63,5.19,3.93,35.53,0.00,0.00,1
8.314490089000174,0.63,98.37,0.40,0.02,10525.00,27.58,323.63,-2.63,4.94,4.11,35.41,0.00,0.00,1
8.413444533001893,0.63,98.37,0.40,0.02,10525.00,27.59,323.63,-2.63,4.75,3.58,35.91,0.00,0.00,1
8.512666684000578,0.64,98.36,0.41,0.01,10527.00,27.59,323.56,-2.63,4.69,3.47,35.28,0.00,0.00,1
8.611346544999833,0.64,98.36,0.41,0.01,10527.00,27.59,323.56,-2.63,4.69,4.18,34.91,0.00,0.00,1
8.709243178000179,0.64,98.36,0.41,0.01,10528.00,27.59,323.56,-2.63,4.81,3.90,36.03,0.00,0.00,1
8.807036843001697,0.64,98.36,0.40,0.02,10523.00,27.59,323.56,-2.63,4.63,3.47,35.16,0.00,0.00,1
8.90905560399915,
9.011109467999631,
9.113229219001369,
9.215229280998756,
9.31762830200023,
9.409969581000041,
9.502259559001686,1252
9.59428870299962,0
9.686791649000952,99.00
9.779137980000087,1.00
9.871466812001017,0.00
9.963872935000836,0.00
10.05620629799887,1.00
10.149532784002076,0.00
10.241979323000123,0.00
10.334390394000366,1.00
10.426765632000752,0.00
10.519158890001563,0.00
10.612199074999808,0.00
10.714319761998922,
10.816334617000393,
10.918089576000057,
11.019885888999852,
11.121660015000089,
11.2237240880022,
11.325877223000134,
11.428173223001068,
11.53062682699965,
11.633029856999201,
11.737055802001123,
11.83944232200156,
11.941400145002262,
12.043345936999685,
12.145332459000201,
12.247345282001334,
12.349360187999991,
12.45135493899943,
12.553343022002082,
12.655321366000862,
12.757248825000715,
12.859215554999537,
12.961201606998657,
13.063159534998704,
13.16509589999987,
13.267099503998907,
13.369059411001217,
13.471017858999403,
13.572946931999468,
13.674903037001059,
13.777285807002045,
13.879202068001177,
13.981230567998864,
14.083357610001258,
14.185203142002138,
14.287055601002066,
14.388880246999179,
14.490709581001283,
14.592545217001316,
14.694370436998724,
14.796226594000473,
14.898123740000301,
15.000081251000665,
15.101987980000558,
15.20388226200157,
15.310099088001152,
15.412035920999188,
15.51395509899885,
15.616211775999545,
15.718993919999775,
15.82154372199875,
15.924158001998876,
16.02656098100124,
16.128914428001735,
16.23130573999879,
16.33371658300166,
16.43632435299878,
16.539090561000194,
16.641615831002127,
16.74376157000006,
16.845505018998665,
16.94737799900031,
17.049147177000123,
17.150961979001295,
17.252836782001395,
17.35484200100109,
17.456793469998956,
