Start Time, 2021-04-18 - 18:03:11
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.06952298999749473,
0.16329728699929547,
0.2556110149998858,10
0.34769385699837585,1
0.4397780529980082,0.42
0.5319345419993624,99.00
0.6239876439976797,1.00
0.7161209549994965,0.00
0.8082013499988534,0.00
0.9004050769981404,1.00
0.9925670859993261,0.00
1.0846749809970788,0.00
1.1768209999972896,1.00
1.2689722799987067,0.00
1.361101892998704,0.00
1.4582142039980681,0.72,98.28,0.39,0.03,10511.00,27.56,325.00,-2.06,-11.81,3.37,35.03,0.00,0.00,1
1.5580539589973341,0.72,98.28,0.38,0.04,10505.00,27.64,325.00,-2.06,-11.81,3.51,35.16,0.00,0.00,1
1.658273086999543,0.72,98.28,0.39,0.03,10513.00,27.68,325.00,-2.06,-11.81,3.79,35.28,0.00,0.00,1
1.757219561997772,0.72,98.28,0.39,0.03,10512.00,27.70,325.00,-2.06,-11.81,3.01,35.16,0.00,0.00,1
1.8572179619986855,0.72,98.28,0.39,0.03,10509.00,27.69,325.00,-2.06,-11.88,3.51,35.28,0.00,0.00,1
1.9566773009973986,0.72,98.28,0.39,0.03,10508.00,27.71,325.00,-2.06,-11.81,3.83,35.03,0.00,0.00,1
2.0530724259988347,0.72,98.28,0.39,0.03,10510.00,27.68,325.00,-2.06,-11.81,3.51,35.03,0.00,0.00,1
2.149349062998226,0.72,98.28,0.39,0.03,10511.00,27.71,325.00,-2.06,-11.81,3.54,35.28,0.00,0.00,1
2.2483343399981095,0.72,98.28,0.39,0.03,10510.00,27.72,325.00,-2.06,-11.81,3.79,35.28,0.00,0.00,1
2.3449710789973324,0.72,98.28,0.39,0.03,10512.00,27.73,325.00,-2.06,-11.94,3.58,35.16,0.00,0.00,1
2.441514225996798,0.72,98.28,0.39,0.03,10513.00,27.74,325.00,-2.06,-11.81,3.76,35.66,0.00,0.00,1
2.538428568997915,0.72,98.28,0.39,0.03,10508.00,27.73,325.00,-2.13,-11.81,3.62,35.41,0.00,0.00,1
