Start Time, 2021-04-18 - 18:09:06
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.033851862001029076,
0.1432936810015235,
0.2368858949994319,10
0.32896701900244807,1
0.4211512149995542,0.42
0.5133054640027694,99.00
0.6054892950014619,1.00
0.697705679001956,0.00
0.79020107299948,0.00
0.8826323520006554,1.00
0.9749870689993259,0.00
1.0673712650022935,0.00
1.1596577000018442,1.00
1.2520824170023843,0.00
1.3444961960012733,0.00
1.4426963180012535,0.73,98.27,0.38,0.04,10505.00,27.62,302.31,-2.69,-2.88,3.58,35.16,0.00,0.00,1
1.542049407002196,0.73,98.27,0.38,0.04,10505.00,27.68,302.31,-2.69,-2.75,3.72,35.03,0.00,0.00,1
1.6410464030013827,0.73,98.27,0.38,0.04,10500.00,27.73,302.31,-2.69,-2.63,3.54,35.41,0.00,0.00,1
1.7416793850024987,0.73,98.27,0.38,0.04,10504.00,27.75,302.31,-2.69,-2.94,3.65,35.78,0.00,0.00,1
1.841240285000822,0.73,98.27,0.38,0.04,10506.00,27.77,302.31,-2.69,-2.56,3.51,35.41,0.00,0.00,1
1.941221133001818,0.73,98.27,0.38,0.04,10503.00,27.78,302.31,-2.69,-2.88,3.90,35.03,0.00,0.00,1
2.0407922939994023,0.73,98.27,0.38,0.04,10504.00,27.78,302.31,-2.69,-2.75,3.86,35.91,0.00,0.00,1
2.1413578290012083,0.73,98.27,0.38,0.04,10504.00,27.78,302.31,-2.69,-2.75,3.83,35.03,0.00,0.00,1
2.2407385730002716,0.73,98.27,0.38,0.04,10499.00,27.79,302.31,-2.69,-2.88,3.51,35.28,0.00,0.00,1
2.339388226002484,0.73,98.27,0.38,0.04,10506.00,27.80,302.31,-2.69,-2.69,3.47,35.28,0.00,0.00,1
2.4405855299992254,0.73,98.27,0.39,0.03,10509.00,27.79,302.31,-2.69,-2.88,3.79,34.91,0.00,0.00,1
2.5400191389999236,0.73,98.27,0.38,0.04,10504.00,27.80,302.31,-2.69,-2.81,3.69,35.03,0.00,0.00,1
2.638381553002546,0.73,98.27,0.38,0.04,10505.00,27.80,302.31,-2.69,-2.81,4.11,35.03,0.00,0.00,1
2.7364525080010935,0.73,98.27,0.38,0.04,10504.00,27.81,302.31,-2.69,-2.88,3.69,35.16,0.00,0.00,1
2.8344402350012388,0.73,98.27,0.39,0.03,10509.00,27.81,302.31,-2.69,-2.75,3.69,35.03,0.00,0.00,1
2.9338443130000087,0.73,98.27,0.38,0.04,10503.00,27.80,302.31,-2.69,-2.88,3.90,32.65,0.00,0.00,1
3.03292177700132,0.73,98.27,0.38,0.04,10501.00,27.81,302.31,-2.69,-2.81,3.72,35.66,0.00,0.00,1
3.1324390320005477,0.73,98.27,0.38,0.04,10503.00,27.81,302.31,-2.69,-2.75,3.47,35.28,0.00,0.00,1
3.2316824340014136,0.73,98.27,0.38,0.04,10504.00,27.81,302.31,-2.69,-2.94,3.54,35.03,0.00,0.00,1
3.330804794000869,0.73,98.27,0.38,0.04,10503.00,27.81,302.31,-2.69,-2.81,3.51,35.16,0.00,0.00,1
3.4299148620011692,0.73,98.27,0.38,0.04,10506.00,27.81,302.31,-2.69,-2.88,3.62,34.41,0.00,0.00,1
3.52916519000064,0.73,98.27,0.38,0.04,10505.00,27.81,302.31,-2.69,-2.94,3.58,35.28,0.00,0.00,1
3.628425988001254,0.73,98.27,0.38,0.04,10499.00,27.81,302.31,-2.69,-2.75,3.76,35.03,0.00,0.00,1
3.727115691999643,0.73,98.27,0.38,0.04,10502.00,27.81,302.31,-2.69,-2.94,3.54,35.28,0.00,0.00,1
3.8264833120010735,0.73,98.27,0.38,0.04,10506.00,27.82,302.31,-2.69,-2.81,3.79,34.66,0.00,0.00,1
3.9249352570004703,0.73,98.27,0.38,0.04,10503.00,27.82,302.31,-2.69,-2.81,3.79,35.03,0.00,0.00,1
4.023945065000589,0.73,98.27,0.38,0.04,10504.00,27.82,302.31,-2.69,-3.00,3.72,35.66,0.00,0.00,1
4.122629092002171,0.73,98.27,0.38,0.04,10506.00,27.82,302.25,-2.69,-2.69,3.72,36.41,0.00,0.00,1
4.221983899002225,0.73,98.27,0.38,0.04,10503.00,27.82,302.25,-2.69,-3.00,3.69,35.16,0.00,0.00,1
4.321268237999902,0.73,98.27,0.38,0.04,10505.00,27.82,302.25,-2.69,-2.88,3.54,35.28,0.00,0.00,1
